tipo,subtipo,vencimento,qtdMinima,taxa,msg_patrocinado,patrocinado,emissor,liquidez,incentivada,qualificado,juros,amortizacao,carencia,rating,agencia,preco,corretora,nr,a,investir,tp_d,chat,enable_popup,url,tp_mercado,tir,vir,dc,du,rbd,rbm,rba,rbp,rlp,rld,rlm,rla,vb,vl,vrl,prlt,idx,rpd,rpp,vpp,teq,tt,am,total,rico_tipo,xp_tipo,cod_cetip,escalonado,avista_id
ATIVO REAL,PRECATÓRIO ESTADUAL DA PARAÍBA - #22/2023,912 dias,10000.0,229.96% CDI,,False,PRECATÓRIO ESTADUAL DA PARAÍBA - #22/2023,No vencimento ,False,False,229.96,Vencimento,No vencimento ,,,10000.0,Hurst Capital,0.0,Hurst Capital,False,Fintech,False,True,https://hurst.capital/operation/09d79124-50ca-4454-bc99-97ea6515983f,P,0.0,0.0,912,631,0.116792,2.4815,34.2,108.87,108.87,0.116792,2.48,34.2,20886.72,20886.72,10886.72,108.87,CDI,0.0222,15.06,11505.68,LCI/LCA 195.47% CDI,34.2,120000.0,229.96,,,,,
ATIVO REAL,CARTEIRA PRECATÓRIOS FEDERAIS ALIMENTARES #21/2023,1277 dias,10000.0,227.84% CDI,,False,CARTEIRA PRECATÓRIOS FEDERAIS ALIMENTARES #21/2023,No vencimento ,False,False,227.84,Vencimento,No vencimento ,,,10000.0,Hurst Capital,0.0,Hurst Capital,False,Fintech,False,True,https://hurst.capital/operation/97e98768-af76-40c4-92e0-765ec22e2e2f,P,0.0,0.0,1277,883,0.115715,2.4584,33.83,177.65,177.65,0.115715,2.46,33.83,27764.6,27764.6,17764.6,177.65,CDI,0.0222,21.69,12168.55,LCI/LCA 193.66% CDI,33.83,90000.0,227.84,,,,,
ATIVO REAL,CCB - ATIVOS ALTERNATIVOS HURST CAPITAL,547 dias,10000.0,185.0% CDI,,False,CCB - ATIVOS ALTERNATIVOS HURST CAPITAL,No vencimento ,False,False,185.0,Vencimento,No vencimento ,,,10000.0,Hurst Capital,0.0,Hurst Capital,False,Fintech,False,True,https://hurst.capital/operation/17a7d4c9-c707-4a9d-8248-d87760944fe6,P,17.5,748.15,547,379,0.093958,1.9918,26.7,42.75,35.27,0.079742,1.69,22.25,14275.12,13526.97,3526.97,35.27,CDI,0.0222,8.79,10878.93,LCI/LCA 152.62% CDI,26.7,180000.0,185.0,,,,,
ATIVO REAL,RENDIMENTOS PÓS FIXADOS ARTES DO BRASIL ,365 dias,10000.0,175.0% CDI,,False,RENDIMENTOS PÓS FIXADOS ARTES DO BRASIL ,No vencimento ,False,False,175.0,Vencimento,No vencimento ,,,10000.0,Hurst Capital,0.0,Hurst Capital,False,Fintech,False,True,https://hurst.capital/operation/9bd96c9d-0376-4bf0-8bc4-35210255683d,P,17.5,441.05,365,253,0.088879,1.8831,25.09,25.2,20.79,0.074693,1.58,20.7,12520.27,12079.23,2079.23,20.79,CDI,0.0222,5.78,10578.47,LCI/LCA 144.38% CDI,25.09,200000.0,175.0,,,,,
ATIVO REAL,ACERVO JJ - MULHERES CONCRETAS II #04/2023,395 dias,5000.0,165.78% CDI,,False,ACERVO JJ - MULHERES CONCRETAS II #04/2023,No vencimento ,False,False,165.78,Vencimento,No vencimento ,,,5000.0,Hurst Capital,0.0,Hurst Capital,False,Fintech,False,True,https://hurst.capital/operation/6511d931-d7e4-4a1c-8f1d-fc155b9dd59e,P,17.5,227.86,395,275,0.084196,1.7831,23.63,26.04,21.48,0.070794,1.5,19.52,6302.09,6074.22,1074.22,21.48,CDI,0.0222,6.3,5315.16,LCI/LCA 136.77% CDI,23.63,200000.0,165.78,,,,,
ATIVO REAL,ACERVO JJ - MULHERES CONCRETAS II #03/2023,395 dias,5000.0,151.99% CDI,,False,ACERVO JJ - MULHERES CONCRETAS II #03/2023,No vencimento ,False,False,151.99,Vencimento,No vencimento ,,,5000.0,Hurst Capital,0.0,Hurst Capital,False,Fintech,False,True,https://hurst.capital/operation/e81dd4ff-f8fe-46a1-a3fe-b60eee8bf6eb,P,17.5,206.84,395,275,0.077193,1.6336,21.46,23.64,19.5,0.064809,1.37,17.73,6181.96,5975.12,975.12,19.5,CDI,0.0222,6.3,5315.16,LCI/LCA 125.39% CDI,21.46,200000.0,151.99,,,,,
DEB,,906 dias,932.085676,CDI + 5.6%,,False,C&A MODAS ,No Vencimento,False,False,5.6,,No vencimento,Fitch,Fitch,932.085676,Rico,0.0,Rico,False,Corretora,False,,,S,15.0,80.32,906,627,0.072424,1.532,20.01,57.45,48.83,0.063441,1.34,17.33,1467.56,1387.24,455.15,48.83,CDI,0.0222,14.95,1071.48,LCI/LCA CDI + 4.76%,20.01,160000.0,5.6,privado,,,,
DEB,,906 dias,932.085676,CDI + 5.6%,,False,C&A MODAS ,No Vencimento,False,False,5.6,Vencimento,Sem carência,AA-,Fitch,932.085676,XP,0.0,XP,False,Corretora,False,,,S,15.0,80.32,906,627,0.072424,1.532,20.01,57.45,48.83,0.063441,1.34,17.33,1467.56,1387.24,455.15,48.83,CDI,0.0222,14.95,1071.48,LCI/LCA CDI + 4.76%,20.01,160000.0,5.6,,privado,,,
CRI,,1515 dias,933.23,CDI + 4.8%,,False,VIA,No vencimento,True,False,4.8,Vencimento,15/07/2027,,,933.23,BTG Pactual digital,0.0,BTG Pactual digital,False,Banco,False,,,S,0.0,0.0,1515,1044,0.069404,1.4676,19.11,106.33,106.33,0.069404,1.47,19.11,1925.57,1925.57,992.34,106.33,CDI,0.0222,26.12,1176.98,CDB CDI + 5.65%,19.11,120000.0,4.8,,,22G0159793,,
DEB,,1815 dias,928.66,CDI + 4.3%,,False,COMPANHIA BRASILEIRA DE DISTRIBUICAO,No vencimento,False,True,4.3,Vencimento,10/05/2028,,,928.66,BTG Pactual digital,0.0,BTG Pactual digital,False,Banco,False,,,S,15.0,184.29,1815,1249,0.067505,1.4272,18.54,132.3,112.45,0.060351,1.28,16.42,2157.26,1972.97,1044.31,112.45,CDI,0.0222,32.0,1225.82,LCI/LCA CDI + 3.65%,18.54,110000.0,4.3,,,CBRDB8,,
